EMPLID,CL1,CL2,CL3,CL4,CL5,CL6,CL7,CL8,CL9,CL10,CL11,CL12,CL13,CL14,CL15,CL16,CL17,CL18,CL19,CL20,
1015611,0,,0,,0,0,0,0,0,,,,0,,0,0,0,0,,,0
1015617,0,,,,0,0,0,0,0,,,0,0,,0,,0,0,,,0
1015660,0,,,,,0,0,0,0,,,0,,,,,,,,,0
1015671,0,,,0,,,,,,,,0,0,,0,,,0,,,0
1015729,0,,0,,,0,0,0,0,0,0,,,,0,,,,,,0
1015790,,0,,,,,,,,,,0,,,,0,,,0,,0
1015809,0,,,,,0,0,0,0,0,0,,,,0,,0,,,,0
1015816,0,,0,0,,0,0,0,0,0,0,0,,0,,,0,,,,0
1015822,,,,,,,,,,,,1,,,,,,,1,,2
1015897,0,,,0,,0,0,0,0,0,0,,,,0,,0,,,,0
1015904,0,,0,0,0,0,0,,,,,,,,,,0,,,,0
1015938,0,,,,,0,0,0,0,0,0,,,,0,,,,,,0
1015944,0,0,0,,,0,0,,,,,0,,,,,,,,,0
1015946,0,,0,0,,0,0,0,0,0,,,,0,0,,,,,,0
1015950,0,0,0,0,0,,,,,,,0,0,0,,0,0,0,0,,0
1015966,0,,0,,,0,0,,,,,,,,0,,,,,,0
1016008,0,,0,0,,0,0,,0,0,,0,,0,0,,,,,,0
1016011,0,,0,,0,0,0,,,,,,0,,,,0,0,,,0
1016122,0,,,,,0,0,0,0,0,0,,,,0,,,,,,0
1016141,0,,0,,0,0,0,0,,,0,0,,,,,,,,,0
1016148,,,,,,,,,,,,1,1,,,,,,,,2
1016199,0,0,,0,,0,0,0,0,0,0,,,,,,,,,,0
1016245,0,,,,,0,0,0,0,,0,0,,,,,,,,,0
1016300,0,,0,0,0,0,0,,,,,,0,0,,,,0,,,0
1016338,0,,0,,,0,0,0,0,0,,,,,0,,,,,,0
1016400,,1,,,,,,,,,,0,,,,1,,,0,,2
1016458,,,,,,,,,,,,,1,1,,,,,,,2
1016521,0,,,,,0,0,0,0,1,1,,,0,,,,,,,2
1016556,,,,,,,,,,,,1,,,,,,,1,,2
1016635,0,0,0,,0,0,0,0,0,,,,0,,0,,,0,,,0
1016643,,0,,,,,,,,,,0,0,0,0,0,0,0,,,0
1016648,,,,,,,,,,,,,,,,1,,,,,1
1016697,0,,,,,,,,,,,,,,,,,,,,0
1016703,0,,,,,0,1,,,,,0,,,,,,,,,1
1016743,0,,0,,,0,0,0,0,0,0,,,,0,,,,,,0
1016768,0,,0,,0,0,0,0,0,0,0,0,,,0,,,,,,0
1016769,,1,,,,,,,,,,0,0,1,1,,,0,0,,3
1016904,,,,,,,,,,,,1,,,,,,,1,,2
1016931,0,,,,,0,0,0,0,1,1,,,,0,,,,,,2
1017009,0,,,,,0,1,,,,,,,,,,,,,,1
1017105,0,0,,,,0,0,1,0,,,,,,0,,,,,,1
1017150,0,0,0,0,0,,,,,,,0,0,,0,,0,0,,,0
1017151,0,,0,0,,0,0,0,0,0,0,,,,,,,,,,0
1017154,1,,,,,,,,,,,,,,1,,,,,,2
1017156,,1,,,,,,,,,,0,1,0,,0,1,,,,3
1017193,0,,0,0,0,0,0,,,,,0,0,,0,,0,0,,,0
1017208,0,,,,,0,0,0,0,0,0,,,,,,,,,,0
1017272,0,,0,,,0,0,,,,,,0,,,,,0,,,0
1017281,0,0,,,,0,0,0,0,0,,0,,,0,,0,,,,0
1017296,,,,,,,,,,,,1,1,,,,,,,,2
1017302,,0,,,,,,,,,,0,1,,,0,0,,0,,1
1017333,0,,,,0,0,0,0,0,,,,,,,,,,,,0
1017428,0,,,,,0,0,0,0,0,0,,,,,,0,,,,0
1017436,0,0,0,0,0,1,1,,,,,0,0,0,0,,0,0,,,2
1017472,,1,,,,,,,,,,0,1,,,0,,,0,,2
1017486,0,0,0,0,0,,,,,,,0,0,,,0,,0,0,,0
1017524,0,0,0,0,0,0,0,,,,,,0,,,,,0,,,0
1017571,,,,,,,,,,,,0,1,,,,,,0,,1
1017579,0,,0,0,,0,0,0,0,0,1,,,,,,,,,,1
1017754,0,,,,,0,0,0,0,0,0,,,,,,,,,,0
1017766,0,,,,,0,0,0,0,0,0,,,,,,,,,,0
1017814,0,,,,,0,0,0,0,,,,,,,,,,,,0
1017907,,0,,,,,,,,,,0,1,0,,0,,,0,,1
1017947,0,,0,,,0,0,0,0,0,0,,,,,,,,,,0
1018015,,0,,,,,,,,,,0,1,0,0,,,,0,,1
1018058,0,,,,,0,0,,0,0,,,,,,,,,,,0
1018061,,0,,,,,,,,,,0,1,,1,,,,,,2
1018095,0,,,,,0,0,0,,0,0,0,,,,,,,,,0
1018135,0,,,,,0,0,0,0,0,0,,,,,,,,,,0
1018140,0,,0,0,0,0,0,,,,,,0,,,,,0,,,0
1018159,0,,,,,0,0,0,0,1,1,,,,,,0,,,,2
1018330,0,,,,,0,0,0,0,0,0,,0,,,,,0,,,0
1018355,1,,,,,,,,,,,,1,,,,,,,,2
1018433,0,,,,,0,0,0,,0,0,,,,,,,,,,0
1018459,0,,0,,,0,0,0,0,,,0,,0,0,,,,,,0
1018466,0,0,0,,,0,0,0,,,0,0,,,,,,,,,0
1018569,0,,,,,0,0,,,,,0,,,,,,,,,0
1018605,0,0,0,,,0,0,0,0,,,0,,,0,,,,,,0
1018654,0,,,,0,0,0,0,0,,,,0,,,,0,0,,,0
1018655,0,,0,0,,0,0,0,0,,,,0,,,,,0,,,0
1018656,0,0,0,,,,,,,,,0,0,0,,0,0,0,0,,0
1018657,,1,,,,,,,,,,0,1,,,0,,,0,,2
1018660,0,,,,0,0,0,0,0,,,,0,,0,,,0,,,0
1018661,0,0,0,,,,,,,,,0,0,0,,0,0,0,0,,0
1018665,,0,,,,,,,,,,0,1,0,,0,,,0,,1
1018720,0,,0,0,,0,0,,,,,,,,,,,,,,0
1018782,0,0,,,,,,,,,,0,0,,,0,,0,,,0
1018787,0,,0,,,0,,,,,,,,,,,,,,,0
1018841,,,,,,,,,,,,1,,,,,,,1,,2
1018846,0,0,0,,,,,,,,,,,,,,,,,,0
1018848,0,,,,,0,0,0,0,1,1,0,,,,,,,,,2
1018849,0,,0,,,0,0,,,,,,,,,,,,,,0
1018942,,,,,,,,,,,,1,,,,,,,1,,2
1018988,0,,0,,,0,0,0,0,0,0,,,,0,,,,,,0
1019032,0,,,,,0,0,0,0,0,0,,,,0,,,,,,0
1019059,0,,,,0,1,1,,,,,0,,,0,,,,,,2
1019061,0,,0,0,,0,0,0,0,0,0,0,,,,,,,,,0
1019065,0,,,,,0,0,0,0,0,0,,,,,,0,,,,0
1019112,0,0,0,,,0,0,0,0,0,0,,,,0,,,,,,0
1019189,0,,,,,0,0,0,0,0,0,,,,,,,,,,0
1019224,,,,,,,,,,,,,1,0,,,,,,,1
1019225,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0
1019406,0,,,,,,,,,,,,0,,,,,0,,,0
1019481,,,,,,,,,,,,1,,,,,,,1,,2
1019489,0,0,,0,0,,,,,,,,0,0,,0,0,0,0,,0
1019585,0,0,0,0,0,0,0,,,,,0,,0,0,,0,,,,0
1019630,1,0,0,,,,,,,,,,,,,,0,,,,1
1019637,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,0
1019644,0,,0,,,0,0,,,,,,,,0,,,,,,0
1019673,,0,,,,,,,,,,0,1,,,1,,,0,,2
1019674,,0,,,,,,,,,,0,1,,,0,1,,0,,2
1019683,,0,,,,,,,,,,0,,,,0,,,0,,0
1019684,0,0,,,,,,,,,,0,0,0,,0,,1,0,,1
1019719,,0,,,,,,,,,,0,,,0,0,1,,0,,1
1019721,,,,,,,,,,,,1,,,,,,,1,,2
1019759,0,0,,,,0,0,0,0,0,0,,,,,,,,,,0
1019815,,0,,,,,,,,,,0,1,,,1,,,0,,2
1019816,1,,,,,,,,,,,,0,,,,,,,,1
1019947,0,,,,,0,0,1,1,,,,,,,,,,,,2
1019970,0,,0,,,0,0,0,,0,0,0,,,,,,,,,0
1019974,0,,0,0,0,0,0,,,,,,0,,0,,0,0,,,0
1020028,,0,,,,,,,,,,0,0,,,0,,,,,0
1020032,0,,,,,0,0,0,0,0,0,,,,,,,,,,0
1020033,0,,0,,,0,0,0,0,1,1,0,,,,,0,,,,2
1020069,0,,0,,,0,0,0,0,0,0,,,,0,,,,,,0
1020071,0,,,,,0,0,0,0,0,0,,,0,,,0,,,,0
1020076,0,,0,0,,1,,,,,,,,,0,,,,,,1
1020086,0,,0,,,0,0,0,0,0,0,,,,,,0,,,,0
1020130,0,,0,,,0,0,0,0,0,0,,,,,,,,,,0
1020161,,,,,,,,,,,,1,,,,,,,1,,2
1020179,0,,,,,,,,,,,,0,,,,,1,,,1
1020368,0,,0,0,,0,0,,,,,0,0,0,0,,,0,,,0
1020380,0,,,,,0,0,0,,,0,,,,,,,,,,0
1020429,0,0,0,,,,,,,,,,0,,,,,0,,,0
1020463,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
1020482,,0,,,,,,,,,,0,,,,0,,,0,,0
1020508,0,,0,,,0,0,0,0,0,0,0,,,,,,,,,0
1020585,0,,0,0,0,,,,,,,,,0,,,,,,,0
1020606,0,,,,,0,0,1,0,,,0,0,,,,0,0,,,1
1020630,0,0,0,,,0,0,0,0,,,,0,,,,,0,,,0
1020633,0,0,,,,0,0,,,,,,,,,,,,,,0
1020716,0,,,,0,0,0,1,0,,,,0,,,,,0,,,1
1020788,1,,1,,,,,,,,,,0,,,,0,0,,,2
1020864,0,,0,,,0,0,0,0,0,0,,,,,,,,,,0
1020868,0,0,0,0,,0,0,,,,,0,,0,0,0,,,,,0
1020908,0,0,,,,0,0,0,0,0,0,,,,,,,,,,0
1020916,0,,,0,0,0,0,0,,0,0,0,,,0,,,,,,0
1020958,0,0,,0,,0,0,0,0,0,0,0,,,,,,,,,0
1021054,0,,,0,,0,0,0,0,,,0,0,,,,,0,,,0
1021132,0,,0,,0,0,,,,,,,0,,,,,0,,,0
1021179,0,,,,,0,0,1,0,,,,0,,0,,,0,,,1
1021183,0,0,,,,0,0,0,0,,0,0,,,,,,,,,0
1021249,0,0,,0,,,,,,,,,1,,1,,,,,,2
1021254,,0,,,,,,,,,,0,0,0,,0,,0,0,,0
1021256,,0,,,,,,,,,,0,1,0,,0,0,,0,,1
1021307,0,0,,,,0,0,0,0,0,0,,,,,,,,,,0
1021318,0,,,,,0,0,,,,,,,,,,,,,,0
1021402,0,,0,,,0,0,,0,0,,,,,,,,,,,0
1021434,,1,,,,,,,,,,,,,,,,,1,,2
1021474,,0,,,,,,,,,,0,0,0,,0,0,1,0,,1
1021476,0,,,,,0,0,,,,,,,,0,0,0,,,,0
1021517,,,,,,,,,,,,1,1,,,,,,,,2
1021581,0,,0,0,,0,0,0,0,,,,,,,,,,,,0
1021601,0,,0,0,0,,,,,,,,0,,0,,0,0,,,0
1021614,0,0,0,,,0,0,0,0,0,0,,,,0,0,,,,,0
1021615,0,,0,,0,0,0,,,,,,0,,,,,0,,,0
1021679,,0,,,,,,,,,,0,0,,0,,0,,0,,0
1021681,0,,0,0,0,,,,,,,0,0,,,0,,0,,,0
1021762,,,,,,,,,,,,1,,,,,,,1,,2
1021769,0,,0,,,0,1,,,,,,,,,,,,,,1
1021771,0,,0,,,,,,,,,,0,,0,,,0,,,0
1021772,0,0,0,,0,0,0,,,,,,0,,0,,,0,,,0
1021814,0,,,,0,0,0,0,0,0,0,,,,,,,,,,0
1021844,0,0,0,0,1,,,,,,,0,0,,0,,0,0,,,1
1021926,0,,0,,,0,0,0,0,1,0,,,,,,,,,,1
1021947,0,0,,,0,0,1,,,,,,0,,,,0,0,,,1
1022010,0,,0,0,,1,1,,,,,,0,,,,0,0,0,,2
1022029,0,,,,,0,0,,0,1,,,,,,,,,,,1
1022148,0,,0,,,,,,,,,,0,0,0,,0,0,,,0
1022155,0,,0,,0,0,0,,,,,,0,,,,,0,,,0
1022165,,1,,,,,,,,,,0,1,,,,,,0,,2
1022239,,,,,,,,,,,,,,,1,1,,,,,2
1022240,,0,,,,,,,,,,,1,1,,0,0,,0,,2
1022243,0,0,0,,,,,,,,,,0,,,,1,0,,,1
1022326,0,,0,,,0,0,0,0,0,0,,,0,,,,,,,0
1022376,0,,,,0,0,0,,,,,0,0,,,,,0,,,0
1022403,0,,0,,,0,0,0,0,0,0,,,,,,,,,,0
1022422,0,0,0,,,0,0,,,,,,,,,,,,,,0
1022436,0,,0,,,0,0,0,0,,,0,,,,,,,,,0
1022511,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,0
1022526,0,,,,,0,0,,,,,0,,,,,,,,,0
1022554,0,,,,,0,0,0,0,,,0,,,,,,,,,0
1022634,0,,0,,,0,0,0,0,,,,,,,,,,,,0
1022635,0,,0,,,0,0,0,0,,,,,,,,,,,,0
1022650,,0,,,,,,,,,,0,1,,,0,0,,0,,1
1022653,0,1,,,,,,,,,,,1,,0,,,,,,2
1022731,,,,,,,,,,,,,1,,,,0,,,,1
1022847,1,,,,,,,,,,,,,,,1,,,,,2
1022938,0,,,,,0,0,,,,,,,,0,,,,,,0
1022981,,1,,,,,,,,,,0,,,,1,,,0,,2
1022991,,1,,,,,,,,,,0,1,,,1,,,0,,3
1023114,0,,0,0,,0,0,,0,,,,,,,,,,,,0
1023118,,,,,,,,,,,,,1,,,,0,,,,1
1023119,,1,,,,,,,,,,,,,,,,,1,,2
1023121,,1,,,,,,,,,,,1,,,1,,,,,3
1023161,,1,,,,,,,,,,,1,,0,0,,,0,,2
1023258,0,0,,,,0,0,,,,,,,,,,0,,,,0
1023272,0,0,,,,0,0,,0,0,,,,,,,,,,,0
1023338,,,,,,,,,,,,,1,,,,,,,,1
1023403,0,,0,,,0,0,0,0,1,0,,,,,,,,,,1
1023408,0,0,,,,0,0,,,,,,,,,,0,,,,0
1023454,0,,,0,,0,0,,,,,0,,0,,,0,,,,0
1023469,,,,,,,,,,,,,1,,,,,,,,1
1023490,0,0,0,0,,0,0,,,,,,,0,,,,,,,0
1023569,,,,,,,,,,,,1,,,,,,,1,,2
1023573,,0,,,,,,,,,,0,1,0,,0,0,,0,,1
1023792,0,,0,0,,0,0,,,,,,,,,,,,,,0
1023864,0,,0,0,,0,0,0,0,,,0,,,0,,,,,,0
1023937,0,,0,0,,0,0,,0,0,,,,,,,,,,,0
1023953,0,0,0,,,,,,,,,,,,,,,,,,0
1023987,,,,,,,,,,,,1,,,,,,,1,,2
1023991,0,0,,1,,,,,,,,,,,,,,,,,1
1023992,,0,,,,,,,,,,0,1,0,,0,1,,0,,2
1023996,0,,0,,0,,,,,,,,0,,,,,0,,,0
1024039,0,,0,0,,0,0,0,0,0,0,,,,,,,,,,0
1024059,,,,,,,,,,,,1,,,,,,,1,,2
1024084,,0,,,,,,,,,,0,1,0,,,,,,,1
1024085,0,,0,,0,,,,,,,,0,,0,,0,0,,,0
1024087,,,,,,,,,,,,1,,,,,,,1,,2
1024213,0,0,0,,,,,,,,,0,,0,,,,,,,0
1024220,0,,,,,0,0,0,0,,,,,,,,,,,,0
1024270,0,,0,,,0,0,0,0,,,,,,,,,,,,0
1024324,,,,,,,,,,,,,1,,,,,,,,1
1024327,0,,0,0,0,,,,,,,,0,0,,,0,0,,,0
1024333,0,,0,0,0,,,,,,,,0,,0,,0,0,,,0
1024430,0,0,0,0,,0,0,,,,,,0,,0,,,0,,,0
1024453,0,,,,0,0,1,,,,,,,,,,,,,,1
1024478,0,,,,,0,0,0,0,,0,0,,,0,,,,,,0
1024480,1,0,1,,,,,,,,,0,0,,0,,0,0,,,2
1024482,,0,,,,,,,,,,0,0,,0,,1,,0,,1
1024489,1,,,,,,,,,,,,1,,,,,,,,2
1024519,1,,,,,,,,,,,,0,,,0,,1,,,2
1024528,0,,0,,0,1,1,,,,,,,,,,,,,,2
1024549,,0,,,,,,,,,,0,0,0,,0,0,,0,,0
1024556,,0,,,,,,,,,,0,0,0,,0,0,0,0,,0
1024645,0,,,,0,0,0,0,,,0,0,,,,,,,,,0
1024746,,0,,,,,,,,,,0,1,,,0,0,,0,,1
1024755,,,,,,,,,,,,1,,,,,,,1,,2
1024756,0,,0,,,,,,,,,,0,,,,,0,,,0
1024757,,0,,0,,,,,,,,0,,0,,,,,,,0
1024796,,0,,,,,,,,,,0,0,,,0,0,,0,,0
1024899,0,,0,,,0,0,0,0,0,0,,,,,,,,,,0
1024921,0,,,,0,,,,,,,0,,,,0,,,,,0
1025062,,0,0,,0,,,,,,,,0,,,,,0,0,,0
1025073,0,,,,,0,0,,,,,,,,,0,,,,,0
1025100,0,,,,,0,0,,,,,0,,,,,,,,,0
1025103,0,0,,,,,,,,,,,,,,,,,,,0
1025165,0,,0,,,,,,,,,,,,0,,,,,,0
1025166,,,,,,,,,,,,1,,,,,,,1,,2
1025169,0,,0,,,0,0,0,0,0,1,,,,,,,,,,1
1025214,0,,0,0,,0,0,,,,,,,0,,,0,,,,0
1025348,0,,0,,,0,0,,0,0,,,,,,,,,,,0
1025407,,,,,,,,,,,,1,,,,,,,1,,2
1025525,0,,,,,0,0,0,1,,,,,,,,,,,,1
1025531,,0,,,,,,,,,,0,0,,,0,1,0,0,,1
1025574,0,,,,,,,,,,,,0,,0,,,1,,,1
1025673,,0,,,,,,,,,,0,,,,0,,,0,,0
1025674,0,,0,,,0,0,1,0,,,,,,,,,,,,1
1025709,0,,,,,,,,,,,,0,,,,,0,,,0
1025893,0,,,,,0,0,0,,,,,,,,,,,,,0
1025894,0,,,,0,0,0,,,,,,,,0,,0,,,,0
1026032,0,,0,,,0,0,,,,,,,,,,,,,,0
1026050,0,,1,,,,,,,,,,,,,,,,,,1
1026090,0,,,,,0,0,,,,,,,,,,,,,,0
1026148,,0,,,,,,,,,,0,1,0,,0,,,0,,1
1026242,,,,,,,,,,,,,,,,1,,,1,,2
1026244,,0,,,,,,,,,,0,1,,,,,,0,,1
1026257,0,,0,,,1,0,,,,,,,,,,,,,,1
1026359,0,,0,,,0,0,0,0,,,,,,0,,,,,,0
1026387,0,,,,,0,0,,,,,,,,,,,,,,0
1026397,0,,,,,0,0,,,,,,,,,,,,,,0
1026428,,,,,,,,,,,,1,,,,,,,0,,1
1026537,0,,,,,0,0,,,,,,,,,,,,,,0
1026541,0,0,,,,1,1,,,,,,,,,,,,,,2
1026652,0,0,,,,,,,,,,,0,,,,,,,,0
1026655,,,,,,,,,,,,,1,,,,,,,,1
1026656,0,,0,,,,,,,,,,,0,,,0,,,,0
1026713,,,,,,,,,,,,0,1,,,1,,,,,2
1026778,,,,,,,,,,,,1,,,,,,,1,,2
1026806,0,,,,,0,0,0,0,,,0,,,,,,,,,0
1026857,0,,,,,0,0,,,,,,,,,,,,,,0
1026912,,,0,0,,,,,,,,,,,,,,,,,0
1026938,0,,,,0,0,0,,,,,,,,0,,,,,,0
1026941,,,,,,,,,,,,1,,,,,,,1,,2
1026943,0,,,,0,0,0,,,,,,,,0,,,,,,0
1026946,0,,,,,0,0,,,,,,,,,,,,,,0
1027020,,,,,,,,,,,,1,,,,,,,1,,2
1027021,,0,,,,,,,,,,,,,,1,,,0,,1
1027023,,,,,,,,,,,,1,,,,,,,1,,2
1027053,0,,,,,0,0,,,,,,,,,,,,,,0
1027059,0,,0,,,0,0,,,,,,,,,,,,,,0
1027062,0,,0,,,0,0,1,0,,,,,,0,,,,,,1
1027153,,,1,,,,,,,,,1,,,,,,,,,2
1027162,0,,0,,,0,0,0,0,,,,,,0,,,,,,0
1027215,0,,0,0,0,,,,,,,,,,,,,,,,0
1027219,0,,,,,,,,,,,,0,,,,,0,,,0
1027223,0,,,,,0,0,,,,,0,,,0,,0,,,,0
1027391,0,,,,,0,0,,,,,,,,,,,,,,0
1027393,0,,,,,0,0,,,,,,,,,,,,,,0
1027450,1,0,1,,,,,,,,,,,1,,,,,,,3
1027452,,,,,,,,,,,,,1,,,,,,,,1
1027493,0,,,0,,0,0,,,,,0,,,,,,,,,0
1027561,,,,,,,,,,,,1,,,,,,,1,,2
1027613,,,,,,,,,,,,,0,0,,,0,0,,,0
1027672,,0,0,,,,,,,,,0,,0,,,,,,,0
1027752,,0,,,,,,,,,,0,1,,,0,1,,0,,2
1027818,,,,,,,,,,,,0,,,,,,,0,,0
1027821,,0,,,,,,,,,,0,,,,0,0,,0,,0
1027823,,0,,,,,,,,,,0,1,,,1,,,0,,2
1027863,,,,,,,,,,,,1,,,,,,,,,1
1027868,,,,,,,,,,,,,1,0,0,0,0,,0,,1
1027948,0,,,,,0,0,,,,,0,,,,,0,,,,0
1027955,0,0,0,,,0,0,,,,,,,,,,,,,,0
1027956,0,,,,0,0,0,0,0,,,,,,,,,,,,0
1027958,,0,,,,,,,,,,,0,,,,0,,,,0
1027968,,,,,,,,,,,,0,,,,0,,,,,0
1027981,,,,,,,,,,,,0,0,,,,,0,,,0
1028009,,,,,,,,,,,,,,,,1,,,1,,2
1028016,,1,,,,,,,,,,,,,,,,,1,,2
1028026,0,,0,,,0,0,,,,,,,0,,,0,,,,0
1028029,0,,0,,0,0,1,,,,,,,,,,,,,,1
1028099,0,0,0,,,,,,,,,0,0,,,,,0,,,0
1028100,0,,0,,,,,,,,,,0,,0,,0,0,,,0
1028104,0,,0,,,0,0,0,,,,,,,,,,,,,0
1028113,0,,,0,,,,,,,,,,0,,,,0,,,0
1028181,,,,,,,,,,,,1,,,,,,,1,,2
1028229,,,,,,,,,,,,1,,,,,,,1,,2
1028231,,,,,,,,,,,,,,,0,,,,0,,0
1028233,0,,,,,0,0,1,0,,,,,,0,,,,,,1
1028366,,1,,,,,,,,,,,1,,,,,,,,2
1028472,,0,,,,,,,,,,0,1,,,0,1,,0,,2
1028480,,0,,0,,,,,,,,,0,0,,,,1,,,1
1028486,,0,,,,,,,,,,1,1,,,1,,,0,,3
1028490,0,,,,,0,0,,,,,,,,,,,,,,0
1028505,,1,,,,,,,,,,,1,,,,,,,,2
1028528,0,,1,,,,,,,,,,,,,,0,,,,1
1028531,,0,,,,,,,,,,,,,0,0,,,0,,0
1028538,0,0,,,,0,0,,,,,,,,,,,,,,0
1028582,0,,,,0,,,,,,,,,,,,,,,,0
1028608,1,1,,,,,,,,,,,,,,,,,,,2
1028742,,1,,,,,,,,,,,,,,,,,1,,2
1028890,0,,,,,,,,,,,,0,,0,,,0,,,0
1028891,0,,,,,0,0,1,0,,,0,,,,,,,,,1
1028938,,0,,,,,,,,,,0,1,,,,,,0,,1
1028953,0,,0,0,0,0,0,,,,,,,,,,,,,,0
1028964,0,,,,,0,0,0,0,,,,,,,,,,,,0
1029026,,,,,,,,,,,,1,,,,,,,1,,2
1029029,0,,,,,,,,,,,,0,,,,,,,,0
1029033,,1,,,,,,,,,,0,,,,1,,,0,,2
1029037,,1,,,,,,,,,,0,,,,1,,,0,,2
1029085,,,,,,,,,,,,,0,,,,,,0,,0
1029090,,,1,,,,,,,,,1,,,,,,,,,2
1029097,0,,,,,,,,,,,,0,0,,,,,,,0
1029184,0,,0,,,0,1,,,,,,,,,,,,,,1
1029197,,,,,,,,,,,,,,,,1,,,,,1
1029230,,,,,,,,,,,,1,,,,,,,1,,2
1029261,0,0,0,,,,,,,,,,,0,,,,,,,0
1029264,0,,,,,0,0,,,,,,,,,,,,,,0
1029335,0,,0,,,,,,,,,,0,,,,,0,,,0
1029386,,0,,,,,,,,,,0,1,,,0,0,,0,,1
1029461,0,,,,,0,0,0,0,,,0,,,,,,,,,0
1029466,0,,0,,1,,,,,,,,,,1,,,,,,2
1029467,0,,,,,0,0,,,,,,,,,,,,,,0
1029474,,,,,,,,,,,,,0,,0,,,,,,0
1029475,0,,,,,0,0,,,,,,,,,,,,,,0
1029476,0,,,,,0,0,,,,,,,,,,,,,,0
1029500,0,0,,,,0,0,,,,,,,,0,,,,,,0
1029518,,0,,,,,,,,,,0,,,,0,,,0,,0
1029519,,0,,,,,,,,,,,0,,,,,,,,0
1029530,0,,,,,,,,,,,,0,,0,,,0,,,0
1029651,0,,,,,0,0,,,,,,,,,,,,,,0
1029674,0,,0,0,,0,0,,,,,,,,,,,,,,0
1029685,0,1,,,,,,,,,,0,,,0,,,,,,1
1029690,0,0,,,,,,,,,,,0,,,,0,,,,0
1029757,,0,,,,,,,,,,0,,,,,,,0,,0
1029810,,0,,,,,,,,,,0,,,1,1,,,0,,2
1029812,0,,,,,0,0,,,,,,,,,,,,,,0
1029815,0,0,0,,,,,,,,,0,,,,,,,,,0
1029817,,,1,,,,,,,,,,,,,,,,,,1
1029852,,0,,,,,,,,,,0,0,,,0,0,,0,,0
1029952,0,,,,0,,,,,,,,,,,,,,,,0
1029957,0,,0,,,0,0,,,,,,,,,,,,,,0
1029958,0,,0,,,0,0,,,,,,,,,,,,,,0
1029960,0,0,,,,0,0,0,0,,,,,,,,,,,,0
1029992,,,,,,,,,,,,,0,0,,0,0,1,0,,1
1029999,,0,,,,,,,,,,0,0,0,,0,0,0,0,,0
1030171,0,,,,0,0,1,,,,,,,,,,0,,,,1
1030252,0,,0,,,0,0,,,,,,,,0,,,,,,0
1030261,0,0,0,,,,,,,,,,,,,,0,,,,0
1030304,0,,0,,0,,,,,,,,,0,0,0,,,,,0
1030363,0,,0,,,0,0,,,,,,,,,,,,,,0
1030453,0,0,,,,,,,,,,,0,,,,,0,,,0
1030478,0,,,,,0,0,,,,,,,,,,,,,,0
1030588,,,,,,,,,,,,0,0,,,,0,0,,,0
1030639,0,,,,,0,0,,,,,,,,,,,,,,0
1030640,0,1,,,,,,,,,,0,,1,,,,,,,2
1030644,0,,,,,0,0,,,,,,,,,,,,,,0
1030650,,,,,,,,,,,,0,0,,,1,,1,,,2
1030680,0,,,,,,,,,,,,0,,,,,,,,0
1030721,0,,,,,,,,,,,,0,,0,,,0,,,0
1030878,0,,,,,,,,,,,,0,,,,,,,,0
1030894,0,,,,,0,0,,,,,,,,0,,,,,,0
1030912,,,,,,,,,,,,1,1,,,,,,,,2
1030940,,0,,,,,,,,,,,,,,,,,0,,0
1030942,,,,,,,,,,,,,0,,,,0,0,,,0
1031048,,0,,,,,,,,,,0,,,,0,,,0,,0
1031050,,,,,,,,,,,,,1,,,,,,,,1
1031199,,,,,,,,,,,,,0,0,0,,0,0,,,0
1031201,,0,,,,,,,,,,0,,,,0,,,0,,0
1031204,,0,,,,,,,,,,,1,,,1,,,1,,3
1031208,,,,,,,,,,,,0,0,,,,0,,,,0
1031211,,,,,,,,,,,,,0,,0,,,,0,,0
1031212,,,,,,,,,,,,0,,,,,,,0,,0
1031213,,0,,,,,,,,,,,,,,,,,0,,0
1031216,0,,0,,0,,,,,,,,,,,0,,,,,0
1031252,,1,,,,,,,,,,0,1,,,1,,,0,,3
1031358,0,,,,,,,,,,,,0,,,,,0,,,0
1031370,0,0,,0,0,,,,,,,,,,,,,,,,0
1031376,,0,,,,,,,,,,0,0,0,,,,0,,,0
1031398,,1,,,,,,,,,,,,,,,,,1,,2
1032457,0,,,,,0,0,,,,,,,,,,,,,,0
1032464,,,,,,,,,,,,1,0,,,,,,,,1
1032489,,0,,,,,,,,,,1,,,,1,,,0,,2
1032529,0,,,0,,0,0,,,,,,,,,,,,,,0
1032534,0,,,,,0,1,,,,,,,,,,,,,,1
1032554,,,,,,,,,,,,,0,,,,,,,,0
1032672,,1,,,,,,,,,,1,,,,,,,0,,2
1032736,0,0,0,,,,,,,,,,,,,,,,,,0
1032808,,,,,,,,,,,,,1,,,0,,,,,1
1032845,,,0,0,0,,,,,,,,,,,0,,,,,0
1032894,0,,,,,0,0,,,,,,,,,,,,,,0
1032896,,0,,,,,,,,,,0,0,,,,,,0,,0
1032897,,1,,,,,,,,,,1,,,,,,,,,2
1032900,,0,,,,,,,,,,1,,,,1,,,0,,2
1032901,,0,1,,,,,,,,,,0,0,,,,0,,,1
