EMPLID,CL1,CL2,CL3,CL4,CL5,CL6,CL7,CL8,CL9,CL10,CL11,CL12,CL13,CL14,CL15,CL16,CL17,CL18,CL19,CL20,
1004166,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,0
1004170,0,,0,,0,,,,,,,,0,,,,,0,,,0
1004211,,,,,,,,,,,,1,,1,,1,,,0,,3
1004215,0,,,,,0,0,0,0,0,0,,,,0,,,,,,0
1004273,0,0,,,0,0,0,0,0,,,,0,,0,,0,0,,,0
1004407,,0,,,,,,,,,,1,,,,,,1,,,2
1004439,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,,,0
1004443,0,,,,,0,0,0,0,1,1,,,,0,,,,,,2
1004487,0,,0,,,0,0,,0,0,,,,,0,,,,,,0
1004630,0,,0,,0,0,0,,,0,,,0,,,,,0,,,0
1004660,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,,,0
1004744,0,0,,,,0,0,0,0,,0,,,,0,,,,,,0
1004782,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,,0
1004813,0,,,0,,0,0,0,0,0,0,,,,0,0,0,,,,0
1004873,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
1004874,,1,,,,,,,,,,0,,,,1,,,0,,2
1004879,0,,,,,0,0,0,0,,,0,,,,,,,,,0
1004880,,,,,,,,,,,,,,,,1,,,1,,2
1004884,0,0,0,0,0,0,0,0,0,0,,,0,,0,,,0,,,0
1004923,,,,,,,,,,,,1,,,,,,,1,,2
1005029,0,,,,,0,0,0,0,0,0,,,,,,,,,,0
1005051,,0,,,,,,,,,,0,0,0,0,,0,1,,,1
1005191,,,,,,,,,,,,0,,0,,0,,,0,,0
1005249,0,,,,,0,0,0,0,0,0,,,,0,,,,,,0
1005254,0,,0,,,0,0,,0,0,,,,,0,,,,,,0
1005375,0,0,,,0,0,0,0,0,0,0,0,0,,,,,0,,,0
1005380,0,,0,,0,0,0,0,0,0,1,,0,,,,0,0,,,1
1005402,0,0,0,0,,0,0,0,0,1,1,0,,0,0,0,0,,0,,2
1005435,0,,0,,,0,0,0,0,0,0,,,,0,,,,,,0
1005559,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0
1005561,0,,,,0,0,0,0,0,0,0,,,,,,,,,,0
1005617,0,0,0,0,,0,0,,0,1,,0,,0,0,,,,,,1
1005626,,1,,,,,,,,,,0,,,,0,,,0,,1
1005628,0,,,0,0,0,0,0,0,1,0,0,0,,0,,,0,,,1
1005664,0,0,,,0,0,0,0,0,0,0,0,,,0,,,,,,0
1005668,,0,,,,,,,,,,0,0,,,0,1,0,0,,1
1005739,1,,,,,,,,,,,0,1,0,1,0,0,,0,,3
1005781,,,,,,,,,,,,,1,,,,,,,,1
1005783,1,,1,,,,,,,,,,,,,,,,,,2
1005787,0,,0,,,0,0,0,0,0,0,,,,,,,,,,0
1005788,0,,,,,0,0,0,0,0,1,,,,0,,,,,,1
1005790,0,,0,,,0,0,0,0,1,1,,,,,,,,,,2
1005801,0,,,,,0,0,0,0,0,0,0,,,0,,,,,,0
1005868,,1,,,,,,,,,,0,,,,1,,,0,,2
1005872,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,0
1005874,0,,0,,,0,0,0,0,0,0,,,,,,,,,,0
1005898,0,,,0,0,0,0,,,,,,0,,0,0,0,0,,,0
1005926,,0,,,,,,,,,,,0,,,1,,1,0,,2
1005981,0,,0,,0,0,0,,,,,,0,,,,,0,,,0
1005985,,0,,,,,,,,,,0,1,,,0,1,,0,,2
1005986,0,,,,,0,0,0,0,1,,,,,0,,,,,,1
1005989,,1,,,,,,,,,,0,,,,1,,,0,,2
1005990,0,0,1,,,,,,,,,,,,0,,,,,,1
1005993,0,,,,,0,0,0,0,0,0,,,,0,,,,,,0
1005994,0,,,,,0,0,0,0,1,1,,,,0,,,,,,2
1005995,0,,,,,0,0,0,0,0,0,,,,0,,,,,,0
1005997,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,0,,,0
1005999,0,,,,,0,0,0,0,0,0,,,,0,,,,,,0
1006033,0,,,,,,,,,,,,1,,,,,,1,,2
1006034,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,0
1006085,0,,,,,0,0,0,0,0,0,0,,,0,,,,,,0
1006087,0,0,0,,,0,0,0,0,0,0,,,,0,,,,,,0
